disease,symptoms,treatment,symptoms_normalized,normalized_symptoms_list
Pancreatitis (Acute),"upper abdominal pain that radiates to your back, abdominal pain that feels worse after eating, fever, rapid pulse, nausea, vomiting, tenderness when touching the abdomen","hospitalization for iv fluids, pain medication, bowel rest (no food by mouth), treating the underlying cause","upper abdominal pain that radiates to your back, abdominal pain that feels worse after eating, fever, rapid pulse, nausea, vomiting, tenderness when touching the abdomen","['upper abdominal pain that radiates to your back', 'abdominal pain that feels worse after eating', 'fever', 'rapid pulse', 'nausea', 'vomiting', 'tenderness when touching the abdomen']"
Deep Vein Thrombosis (DVT),"swelling in the affected leg, pain or tenderness in the leg, a feeling of warmth in the area, red or discolored skin on the leg","anticoagulant medications (blood thinners), thrombolytics, compression stockings","swelling in the affected leg, pain or tenderness in the leg, a feeling of warmth in the area, red or discolored skin on the leg","['swelling in the affected leg', 'pain or tenderness in the leg', 'a feeling of warmth in the area', 'red or discolored skin on the leg']"
Peripheral Artery Disease (PAD),"painful cramping in your hip, thigh or calf muscles after activity (claudication), leg numbness or weakness, coldness in your lower leg or foot, sores on your toes, feet or legs that won't heal","lifestyle changes (smoking cessation, exercise), medications to lower cholesterol and blood pressure, angioplasty or bypass surgery","painful cramping in your hip, thigh or calf muscles after activity (claudication), leg numbness or weakness, coldness in your lower leg or foot, sores on your toes, feet or legs that won't heal","['painful cramping in your hip', 'thigh or calf muscles after activity (claudication)', 'leg numbness or weakness', 'coldness in your lower leg or foot', 'sores on your toes', ""feet or legs that won't heal""]"
Rosacea,"facial redness and flushing, visible small blood vessels, red bumps or pimples, eye irritation, thickened skin (rhinophyma)","topical medications, oral antibiotics, laser therapy, avoiding triggers (sun, spicy food, alcohol)","facial redness and flushing, visible small blood vessels, red bumps or pimples, eye irritation, thickened skin (rhinophyma)","['facial redness and flushing', 'visible small blood vessels', 'red bumps or pimples', 'eye irritation', 'thickened skin (rhinophyma)']"
Scabies,"intense itching, especially at night, pimple-like rash, tiny burrows made of small blisters or bumps on the skin, especially in skin folds","prescription scabicide creams or lotions (permethrin), oral medication (ivermectin), washing all linens and clothing in hot water","intense itching, especially at night, pimple-like rash, tiny burrows made of small blisters or bumps on the skin, especially in skin folds","['intense itching', 'especially at night', 'pimple-like rash', 'tiny burrows made of small blisters or bumps on the skin', 'especially in skin folds']"
Vitamin B12 Deficiency Anemia,"fatigue, weakness, pale or jaundiced skin, shortness of breath, dizziness, tingling or numbness in hands and feet, difficulty with balance, sore tongue, cognitive problems",vitamin b12 injections or high-dose oral supplements,"fatigue, weakness, pale or jaundiced skin, shortness of breath, dizziness, tingling or numbness in hands and feet, difficulty with balance, sore tongue, cognitive problems","['fatigue', 'weakness', 'pale or jaundiced skin', 'shortness of breath', 'dizziness', 'tingling or numbness in hands and feet', 'difficulty with balance', 'sore tongue', 'cognitive problems']"
Vitamin D Deficiency,"often asymptomatic, bone pain, muscle weakness, fatigue, mood changes","vitamin d supplements, increased sun exposure, consuming vitamin d-rich foods","often asymptomatic, bone pain, muscle weakness, fatigue, mood changes","['often asymptomatic', 'bone pain', 'muscle weakness', 'fatigue', 'mood changes']"
Tetanus,"jaw cramping (lockjaw), sudden, involuntary muscle spasms, painful muscle stiffness all over the body, trouble swallowing, seizures","emergency medical care, tetanus immune globulin, tetanus vaccine, muscle relaxants, antibiotics","jaw cramping (lockjaw), sudden, involuntary muscle spasms, painful muscle stiffness all over the body, trouble swallowing, seizures","['jaw cramping (lockjaw)', 'sudden', 'involuntary muscle spasms', 'painful muscle stiffness all over the body', 'trouble swallowing', 'seizures']"
Norovirus Infection,"sudden onset of severe vomiting, watery diarrhea, nausea, stomach cramps, low-grade fever, muscle pain","aggressive rehydration, rest, isolation to prevent spreading, anti-nausea medication in some cases","sudden onset of severe vomiting, watery diarrhea, nausea, stomach cramps, low-grade fever, muscle pain","['sudden onset of severe vomiting', 'watery diarrhea', 'nausea', 'stomach cramps', 'low-grade fever', 'muscle pain']"
Influenza (Seasonal Flu),"abrupt onset of fever, myalgia (muscle aches), headache, malaise, non-productive cough, sore throat, and rhinitis","supportive care including rest and fluids, analgesics, antiviral medications like oseltamivir","abrupt onset of fever, muscle aches (muscle aches), headache, malaise, dry cough, sore throat, and rhinitis","['abrupt onset of fever', 'muscle aches (muscle aches)', 'headache', 'malaise', 'dry cough', 'sore throat', 'and rhinitis']"
Food Poisoning (E. coli),"watery diarrhea which may become bloody, abdominal cramps, nausea and vomiting, sometimes fever","rehydration is critical, rest, avoid anti-diarrheal medication as it can slow toxin removal, medical attention if bloody diarrhea or severe dehydration","watery diarrhea which may become bloody, abdominal cramps, nausea and vomiting, sometimes fever","['watery diarrhea which may become bloody', 'abdominal cramps', 'nausea and vomiting', 'sometimes fever']"
Strep Throat,"sudden sore throat, pain when swallowing, fever, red and swollen tonsils sometimes with white patches, tiny red spots on the roof of the mouth, swollen lymph nodes in the neck","antibiotics (penicillin or amoxicillin), pain relievers, rest, hydration","sudden sore throat, sore throat, fever, red and swollen tonsils sometimes with white patches, tiny red spots on the roof of the mouth, swollen lymph nodes in the neck","['sudden sore throat', 'sore throat', 'fever', 'red and swollen tonsils sometimes with white patches', 'tiny red spots on the roof of the mouth', 'swollen lymph nodes in the neck']"
Tonsillitis,"swollen, red tonsils, white or yellow coating on tonsils, sore throat, difficulty swallowing, fever, swollen neck glands","rest, fluids, salt water gargles, pain relievers, antibiotics if bacterial","swollen, red tonsils, white or yellow coating on tonsils, sore throat, difficulty swallowing, fever, swollen neck glands","['swollen', 'red tonsils', 'white or yellow coating on tonsils', 'sore throat', 'difficulty swallowing', 'fever', 'swollen neck glands']"
Ear Infection (Otitis Media),"ear pain, fluid drainage from the ear, diminished hearing, fever, fussiness in infants","pain relievers, warm compress, antibiotics if bacterial and persistent","ear pain, fluid drainage from the ear, diminished hearing, fever, fussiness in infants","['ear pain', 'fluid drainage from the ear', 'diminished hearing', 'fever', 'fussiness in infants']"
Sleep Apnea,"loud snoring, episodes in which you stop breathing during sleep, gasping for air during sleep, waking up with a dry mouth, morning headache, excessive daytime sleepiness (hypersomnia)","continuous positive airway pressure (cpap) machine, lifestyle changes (weight loss), oral appliances, surgery","loud snoring, episodes in which you stop breathing during sleep, gasping for air during sleep, waking up with a dry mouth, morning headache, excessive daytime sleepiness (hypersomnia)","['loud snoring', 'episodes in which you stop breathing during sleep', 'gasping for air during sleep', 'waking up with a dry mouth', 'morning headache', 'excessive daytime sleepiness (hypersomnia)']"
Restless Legs Syndrome (RLS),"an uncontrollable urge to move the legs, usually because of an uncomfortable sensation, symptoms worsen at rest and in the evening","lifestyle changes (regular exercise, sleep schedule), iron supplements if deficient, medications affecting dopamine","an uncontrollable urge to move the legs, usually because of an uncomfortable sensation, symptoms worsen at rest and in the evening","['an uncontrollable urge to move the legs', 'usually because of an uncomfortable sensation', 'symptoms worsen at rest and in the evening']"
Insomnia,"difficulty falling asleep, difficulty staying asleep, waking up too early, not feeling well-rested after a night's sleep, daytime tiredness or sleepiness, irritability","cognitive behavioral therapy for insomnia (cbt-i), sleep hygiene improvement, prescription sleep medications (short-term)","difficulty falling asleep, difficulty staying asleep, waking up too early, not feeling well-rested after a night's sleep, daytime fatigue or sleepiness, irritability","['difficulty falling asleep', 'difficulty staying asleep', 'waking up too early', ""not feeling well-rested after a night's sleep"", 'daytime fatigue or sleepiness', 'irritability']"
Carpal Tunnel Syndrome,"numbness, tingling, and pain in the hand and forearm, particularly in the thumb, index, and middle fingers, weakness in hand strength","wrist splinting, nsaids, corticosteroid injections, avoiding repetitive wrist motions, surgery in severe cases","numbness, tingling, and pain in the hand and forearm, particularly in the thumb, index, and middle fingers, weakness in hand strength","['numbness', 'tingling', 'and pain in the hand and forearm', 'particularly in the thumb', 'index', 'and middle fingers', 'weakness in hand strength']"
Bursitis,"joint pain, stiffness, and swelling, pain with movement or pressure, redness and warmth over the joint","rest, ice, pain relievers, corticosteroid injections, physical therapy","joint pain, stiffness, and swelling, pain with movement or pressure, redness and warmth over the joint","['joint pain', 'stiffness', 'and swelling', 'pain with movement or pressure', 'redness and warmth over the joint']"
Tendinitis,"a dull ache, tenderness, and mild swelling near the affected tendon, pain that worsens with activity","rest, ice, compression, elevation (rice), pain relievers, physical therapy","a dull ache, tenderness, and mild swelling near the affected tendon, pain that worsens with activity","['a dull ache', 'tenderness', 'and mild swelling near the affected tendon', 'pain that worsens with activity']"
Plantar Fasciitis,"stabbing pain in the bottom of your foot near the heel, pain is usually worst with the first few steps after awakening","rest, ice, stretching exercises, supportive shoes or orthotics, physical therapy","stabbing pain in the bottom of your foot near the heel, pain is usually worst with the first few steps after awakening","['stabbing pain in the bottom of your foot near the heel', 'pain is usually worst with the first few steps after awakening']"
Conjunctivitis (Pink Eye),"redness in one or both eyes, itchiness in one or both eyes, a gritty feeling in one or both eyes, discharge that forms a crust overnight, tearing","antibiotic eye drops (if bacterial), antihistamine eye drops (if allergic), artificial tears, warm or cool compresses","redness in one or both eyes, itchiness in one or both eyes, a gritty feeling in one or both eyes, discharge that forms a crust overnight, tearing","['redness in one or both eyes', 'itchiness in one or both eyes', 'a gritty feeling in one or both eyes', 'discharge that forms a crust overnight', 'tearing']"
Stye,"a red, painful lump near the edge of the eyelid that looks like a boil or a pimple, swelling of the eyelid, tearing","warm compresses, gentle massage, antibiotic ointment (if persistent), avoid squeezing or popping","a red, painful lump near the edge of the eyelid that looks like a boil or a pimple, swelling of the eyelid, tearing","['a red', 'painful lump near the edge of the eyelid that looks like a boil or a pimple', 'swelling of the eyelid', 'tearing']"
"Hand, Foot, and Mouth Disease","fever, sore throat, feeling unwell, painful, red, blister-like lesions on the tongue, gums, and inside of the cheeks, a red rash on the hands and soles of the feet","supportive care, pain relievers, numbing mouthwashes or sprays, hydration","fever, sore throat, feeling unwell, painful, red, blister-like lesions on the tongue, gums, and inside of the cheeks, a red rash on the hands and soles of the feet","['fever', 'sore throat', 'feeling unwell', 'painful', 'red', 'blister-like lesions on the tongue', 'gums', 'and inside of the cheeks', 'a red rash on the hands and soles of the feet']"
Celiac Disease,"diarrhea, fatigue, weight loss, bloating and gas, abdominal pain, nausea, constipation, skin rash (dermatitis herpetiformis)","strict lifelong gluten-free diet, vitamin and mineral supplements","diarrhea, fatigue, weight loss, bloating and gas, abdominal pain, nausea, constipation, rash (dermatitis herpetiformis)","['diarrhea', 'fatigue', 'weight loss', 'bloating and gas', 'abdominal pain', 'nausea', 'constipation', 'rash (dermatitis herpetiformis)']"
